,Description,magnitude,score
0,"I found Mowgli four years ago when he was a puppy lost/left behind in a palm oil estate i used to work at.I took him in ever since, and he had a good life with a wide area to run free in my estate compound.Recently I moved back to KL and have no choice but to bring Mowgli along.Has been a few months since and Mowgli just dont seem to be adjusting to the much smaller compound.He has his daily 20 min walks in the morning but always seem restless.I am hoping there is somebody out there with the ability to care for him and have a big compound for him to run around.",1.7,0.0
1,"Seidi was rescued at Glenmaria area.She is a very gentle girl, quiet and very suitable as a companion dog.She loves to be cuddled and she loves human interactions.She is a very quiet girl hence she is not suitable as a guard dog.She is easy with food and prefers to do her business at the grass areas.Generally a very easy dog to take care and she loves car rides, and will sit quietly in the car when you drive.If you think you can provide her a good home, please contact me at Tony",4.8,0.5
2,I have 5 cats and need to move to a smaller place so letting go of two of them.Best if they can stay together but if you would like to adopt individually that is fine too.Black male Persian mix and his tortoise shell sister.,0.9,0.3
3,"both female dogs r thrown away at d food court after new year...n brown colour was there longer than d lighter brown colour..in risk of getting caught &amp; shot dead by mbmb as previous dogs hv been shot dead...n they r in d food court begging for food...so in desperate need of an adopter...if u can take either one or both,pls contact liew @ kindly jus serious dog lover &amp; adopter onli...spaying will be helped by rescuer...the smaller dog is at risk (more featured in d pic-lighter brown) as it was thrown away jus recently....both r very tame &amp; well mannered..get along with other dogs too..(as the smaller one jus came &amp;make fren with d elder one in jus one day) location: taman sin hoe garden, bukit baru, malacca",0.2,-0.2
4,I'm a young lady born January .I am really quite a sweet and gentle girl who is very chatty sometimes.I would love to come home with you and we chat together.,1.6,0.5
5,Friendly abandoned puppy looking for a new home.4 months old male.very active and such a sweetheart.Please contact Roopa or Bhairavi if you can adopt him Thank you,1.4,0.3
6,"found a stray female dog who follows my mum car..we had to leave her behind becos we are rushing off to somewhere..whoever is interested in adopting, pls do contact me..i will try to get a pic again soon...mayb in d evening..d location is in malacca... very lovable &amp; friendly..pls contact me if u r really interested...thank you... she was adopted, but might need a new adopter as her current place is not so suitable for her...pls help...thanks...",1.1,0.5
7,"We found these three lovely kittens dumped in our condo.We have a cat already so we can only provide a temporary home really.They are too young for vaccinations and neutering.They have an infection which needs an injection a week maybe for three weeks (that is why their faces look a bit 'dirty').We started this and the first injection was 11rm per kitten.Other than this the vet said they were in good health, a little underfed.We go away in two weeks so we are desperate to find a home.I know with the infection and how young they are this is a lot to ask, but they are gorgeous little characters and need a home more than many others would.Please message or WhatsApp if interested",3.5,0.1
8,Active and intelligent.Urgently seeking adoption.Please contact PAWS for further information.,0.6,0.2
9,"Please adopt this stray female kitten, her name is Mimi.I pick her up after her mother was brutally killed by a dog from the neighbourhood.Not sure how old is she, so we roughly estimate her age.We have dogs so can't keep her.We prefer to give the kitten to someone whom is staying in an area which doesn't have dogs, or very less dogs, like shah alam, Putrajaya, Rawang, and etc.I just don't want her to end up like her mom.My Area is at Seri Kembangan, Taman Lestari Perdana, near JUSCO EQUINE..Please leave comment only if you are interested to adopt, and please send email for more contact!!Thanks for looking.",1.7,0.0
10,"My cat is stray cat, likes lost cat.. coz I try to find it mon, but no news... and it body all the dermatitis.. the ears most serious, so I bring it look Dr. and cure... recovery in good condition now ^^ ... and very very lively..it also like shower..it really special !!but I just study in Malaysia's student and next week I will go back my hometown Taiwan..so I need someone can help and feed it... please!!Treatment Records: 22 Jan &gt;&gt; Weight : 1 Kg Injection: Dewormed x1 Dermatitis x1 29 Jan &gt;&gt; Injection: Dermatitis x1 Tetanus vaccine x1",2.2,0.3
11,Garie is one of a litter of 4 kittens born in the ceiling of a single-storeyed house.The rescuer brought them down when they were almost 2 months old.He will be neutered at 8 months of age and I will pay for the vet's neuter fee.,0.4,-0.1
12,becky and blacky for adoption,0.1,0.1
13,"Hi meet Hamster!yes hamster, because when she was born, she looked just like a hamster but cuter!She is 1.5 months old and is looking for a family to keep her safe and warm.She is very active and naughty but never too much and is often cuddly.Do let me know if your interested, Thank you!",3.7,0.7
14,"mocca is very playful cat ,male , age is two and half month.toilet trained.very healthy cat i would like to find someone can take good care of him.his eyes is light blue which is really beautiful, and his fur is medium long with light milky chocolate color.hope he can find a sweet home and great owner",2.4,0.4
15,"female, small, tricolor, clean and toilet trained, hyperactive at times but very quiet anybody interested pls contact location sec 7, shah alam picture's coming",0.7,0.7
16,"Ike was born inside my house on 19 April in a litter of 5.I brought his stray pregnant mother home so that her babies could be born in the comfort of my house.Ike was on mother's milk until 7 weeks old, so he is very healthy.He's very cute and adorable and enjoys being cuddled and sleep in my lap.He'll definitely make a lovely pet and is ready to go to a loving home any time now.If he's adopted now, the adopter must allow me to take him for neutering when he's about 7-8 months old, ie in Nov/Dec.I'll pay for the vet neutering fee.",3.4,0.4
17,"A true gentleman who will take food only when it's offered.Please contact SPCA Penang for further information.If you are located outside of Penang, please contact your local animal shelters instead.We currently do not provide transportation of the animals to other states.",0.3,0.0
18,"lovely , lovely , lovely he is manager of love company ;)you will enjoy his friendly lovely presence better to adopt with any siblings",1.8,0.9
19,This poor boy was rescued at the car park nearby Kepong market and we suspected he was dumped together with others by an irresponsible breeder.We are looking for a loving family to take him home and he will waste no time to start his new lease of life.Are you his new family ?,1.0,-0.2
20,"Appro is 2-3 months old.She was found in USJ 1.I have been fostereing her for sometime and she is a super clever puppy.She mixes well with children and very adorable.If i live in a landed house, i would keep her with me.I feel bad to keep her in my condo, the space is limited and she can't really run around.If you like her and would like to give her a home, please contact me Rain at.thank you.",2.7,0.2
21,"I stayed in Kajang area next to Serdang Hospital.Currently have several cats but namely a mama cat (mixed color) and its kitten (total black) with crystal eyes.The mama cat is young and adorable &amp; intelligent, very companion wise chap.The kitten is adorable too, cute, and very playful at its age (2 month plus) but need to be trained.They eat things edible, and we give them friskies too.The kitten is still breast feeding.Since our premise management do not allow us to keep pets at home, we need to find homes for this non-pedigrees and we need people with big hearts to adopt them.Otherwise they will be sent to somewhere i cannot imagine, and to people out there who have generous space kindly help this creatures.Please contact me fast.Your good deeds are very appreciated and thank you so much.",3.7,0.2
22,"Gentle and sweet.Urgently seeking adoption, please contact SPCA Penang for futher inforamtion.If you are located outside of Penang, please contact your local animal shelters instead.We currently do not provide transportation of the animals to other states.",0.9,0.1
23,"3 adorable puppies are available for adoption.They were abandoned near in Pulau Tikus.The puppies are currently at a fosterer's house located in Pulau Tikus, Penang.",1.5,0.0
24,"Meet Tortie, a 2 months old tortie dat needs a furever loving home.This little one is fiesty, vocal and adorable.if you can be a responsible owner and give Tortie a warm loving home, please contact fosterer Molly Ooi.",2.5,0.8
25,"Tan Sri is one of the vet's favourite dogs because he is so friendly and affectionate.He is good on-leash, knows basic commands and loves attention.He currently lives with Baby, whom he plays very well with.Adoption by donation.",2.3,0.5
26,"I am only a volunteer from Second Chance dog shelter (formerly known as Pawsmission) and I help photograph these dogs.However, my first impression of Emma is she's really playful and loves attention :)If you're interested to know more about Emma, please contact Mrs Lai at Please check out our facebook page for updates of new dogs.www.facebook.com/ProjectAnimus",1.1,0.3
27,The 2 puppies (4 weeks old) that need homes.one girl (black) and one boy (brown).The mother is small to medium size and they are very friendly.They have been dewormed but not old enough to have anything else yet.,1.1,0.1
28,"Trip was rescued from Pekeliling bus station when he was just a few months old.He had been hit by a car and his left paw was dragging on the floor.It is permanently partially paralysed, but he is still able to use it.He is a very happy, loving cat.He loves to play and then cuddle.Comes with litter tray and toys.",2.4,0.2
29,"Please contact us to adopt this pet, or visit our PAWS shelter to check out this and other adorable pets",0.5,0.5
30,Noinin's owner has no time taking care of Noinin after the owner gave birth to a baby.Please give her Good home to be loved once again.She is healthy and love to play.We have cut her hair short.Noinin has to be neutered/ spayed before adoption.The charges have to be borne by you.Tq,2.3,0.2
31,Kiki is very healthy and loves attention.She is well behaved and very timid around other cats.New owner MUST neuter her.Do call or text if you are interested to give Kiki a loving home.,2.1,0.5
32,"Dear Diamond Heart is a local single black female probably around 2-3 mths old.She has a lovely diamond-shaped marking on her chest...and that's why she's got this unique name.The dear lil creature was found crying away outside my friend's house in Kajang.It was pouring &quot;kittens &amp; puppies&quot;, so when my friend went out to look for her, as in trying to figure out where the cry was coming from, he finally spotted the lil rain-soaked furry ball amongst some flower pots outside his house, drenched in the ice cold rain.The poor thing was shivering away..so shaken up, so scared, so alone.She probably wandered off from her mom that probably lives in the jungle nearby...guess she preferred the urban lifestyle more ;-).She's quite a fiesty lil pooch with lotsa energy and just lurrrves to cuddle up beside you for a warm snug whenever possible.She's a little reserved with strangers, and takes a little time to warm up.She's very happy to have other doggie company in the household...and she's very curious about everything &amp; anything!...a sweet lil thing, with quite an independent streak.Cutest little darling you could ever imagine!!Pls be her Forever Home and she will love you Forever!(First vaccination just given on 17/2/, also dewormed).",7.7,0.4
33,"Starky For Adoption â€“ Happy Garden, KL Charming and highly intelligent, there are whispers that Starky boy is related to Tony Stark.Starky is a joyful dog indeed, with a happy and cheeky face that'll surely bring you smiles within a split second.Loves cuddling and a good massage too.Previously a hit-and-run victim with cracked hip and broken legs, Starky has recovered well, owing to his strong will and happy nature.Let's find happy Starky a home!Thank you for taking your time to read this.If you think you can spare a little space to accomodate this happy chap into your family, please give us a tinkle at (JK) or (Annie)",4.7,0.6
34,Nice and healthy,0.8,0.8
35,"Hi, I am Shine!I have a very shinny off black coat that suits my name.I am looking for a loving family who will care and love me, in fact, I miss my mummy very much.I don't promise but I will do my best to be a good boy, hehehe, try me!",2.2,0.5
36,"Beautiful tri-colour mixed breed female, will grow into a small sized dog Cheeky and super smart.Fully vaccinated but adopter must spay her at 6 months old.Shy but can get active once she warms up to you.Location: old klang road.Only for KL/selangor adopter.Interested pls call.",4.1,0.6
37,"Siobhan is smart and intelligent.Very obedient too.Looking For new owner to love her.If ur interested, The dog need to be neutered b4 adoption n the fee is borne by u.Once neutered, we will care for the dog for 2-3 days to make sure he/she is ok.If everything is fine, we will bath the dog b4 u pick up with no extra charge.Thank you NEUTERING IS COMPULSORY.",2.6,0.2
38,This handsome creature was rescued by Cherishlife Home and is currently seeking a family while being fostered.I dont know what breed he is but seems large for his age ( big paws ) and has really striking light green eyes.Please call Melissa at for information and to adopt :)Cherishlife Home can be found on Facebook.* A discounted neutering fee will be charged as adoption fee.,1.4,0.2
39,"Wiley, 2 month old male kitten needs that special person to bring him home!Blind in one eye, he is playful like any other kitten.If you can give Wiley a loving home and be a responsible owner, please contact.",1.2,0.4
40,2 adorable n friendly cats looking for a caring N loving family.would prefer them to be adopted together n kept indoor.Ginger the mum is spayed whereas Sunshine need to be neutered when he is old enough.,0.8,0.8
41,"The dog was rescued by my aunty, however she can't keep the dog.I have temporarily keep the dog while looking for new owner that will love her and have time for her.I am just giving birth to a baby and in the same time have to look after my 5 years old daughter, thus i can't manage the dog currently.Contact me if you are sincerely dog lover.Thanks!",2.4,0.0
42,"Found new born puppies at Taman Desa, they were adopted and only left 1 female brown puppy now.Please call immediately if anyone would like to adopt this cutie puppy.Thank you!",0.6,0.2
43,"Two male orphaned kittens for free adoption.They are given 2 vaccinations and dewormed.They are very active, playful and cute!!Please SMS or whatsapp at for more details.Thanks!",1.7,0.3
44,"Aleska was born 1.5 months ago.Her mum is a Border Collie mix.Aleska will grow up to be a medium large dog hence she is suitable only for landed property with a lil bit of extra land.If you are able to 'pawmise' Aleska a home for the next 15 years, you may contact me via whatsapp at.Remember...adopting a furry kid is a huge commitment and responsibility.Its not just for Christmas.",1.4,0.2
45,Found him alone near apartment area.infested with fleas &amp; worms...He has blue eyes &amp; is now a happy go lucky boy with new owner,0.6,0.6
46,"Mars needs a home by Saturday or his rescuer will have to release him back to the streets.He is handsome, sweet natured, gentle, NEUTERED and enjoys human companionship.Please call Tracy at to adopt Mars.",1.0,0.3
47,"Poong Poong (4 years old, Male) Hi, I'm a fosterer of Poong Poong.He's a 4 years old pure breed Shih Tzu (with cert.).He's a very typical Shih Tzu breed - very calm and quiet and hardly barks.His hobby is sleeping and his specialty is sleeping as well.He can control his diet but prefers cool water.The only thing he makes mistakes is that he finds it hard to do his businesses (small or big) in his toilet.When he was a baby, his fur friend accidentally scratched his left eye so it's bit milky but veterinarian says he can still see with his left eye.(His right eye is fine).The owner is Korean lady, a mother of 2 babies - 18 months and 6 months and she's pregnant again so planning to go back to Korea.Please contact if you are interested.",3.5,0.3
48,4 dogs.Mixed breed.Female 2 mth young.,0.1,0.0
49,"My friend said she is a husky mix.But she look like a shiba inu (lookalike) to me.She is a 1year old stray, spayed.She has a steady feeder, but she has a habit to chase and bark to anything that passby her territory, so, she is a excellent candidate for house guarding.Put that aside, give her some love and she'll be your forever love provider.Please give her a chance, before someone report to authority and catch her a way.",2.0,0.2
50,"Please contact us to adopt this pet, or visit our PAWS shelter to check out this and other adorable pets",0.5,0.5
51,"kitten black hair with yellow eyes cute, playfull and adorable toilet trained interested please call or sms",0.9,0.9
